PLAYER_ID,GAME_DATE,POTENTIAL_AST,POTENTIAL_AST_L5
203507,2024-10-27,15.0,
203507,2024-10-28,15.0,
203507,2024-10-31,10.0,
203552,2024-10-23,3.0,
203552,2024-10-25,4.0,
203552,2024-10-26,4.0,
203552,2024-10-30,5.0,
203552,2024-11-01,2.0,
203897,2024-10-23,6.0,
203897,2024-10-25,4.0,
203897,2024-10-26,7.0,
203897,2024-10-28,7.0,
203897,2024-10-30,9.0,
203897,2024-11-01,8.0,6.6
203903,2024-10-23,8.0,
203903,2024-10-25,10.0,
203903,2024-10-28,8.0,
203903,2024-10-29,10.0,
203903,2024-10-31,8.0,
203914,2024-10-23,3.0,
203914,2024-10-25,0.0,
203914,2024-10-26,0.0,
203914,2024-10-28,1.0,
203914,2024-10-30,0.0,
203914,2024-11-01,0.0,0.8
203915,2024-10-24,0.0,
203915,2024-10-28,3.0,
203915,2024-10-29,2.0,
203915,2024-10-31,6.0,
203924,2024-10-23,3.0,
203924,2024-10-25,1.0,
203924,2024-10-27,4.0,
203924,2024-10-28,5.0,
203924,2024-10-30,1.0,
203924,2024-11-01,2.0,2.8
203926,2024-10-24,0.0,
203926,2024-10-28,0.0,
203926,2024-10-29,0.0,
203932,2024-10-24,7.0,
203932,2024-10-26,6.0,
203932,2024-10-28,5.0,
203932,2024-10-29,4.0,
203932,2024-11-01,7.0,
203935,2024-10-23,6.0,
203935,2024-10-25,4.0,
203935,2024-10-26,4.0,
203935,2024-10-28,10.0,
203935,2024-10-30,2.0,
203937,2024-10-23,6.0,
203937,2024-10-25,3.0,
203937,2024-10-27,3.0,
203937,2024-10-29,6.0,
203937,2024-10-30,4.0,
203939,2024-10-24,0.0,
203939,2024-10-26,0.0,
203939,2024-10-28,0.0,
203939,2024-10-31,0.0,
203944,2024-10-22,7.0,
203944,2024-10-24,10.0,
203944,2024-10-26,6.0,
203944,2024-10-29,10.0,
203944,2024-11-01,7.0,
203952,2024-10-23,6.0,
203952,2024-10-25,7.0,
203952,2024-10-27,2.0,
203967,2024-10-24,1.0,
203967,2024-10-26,1.0,
203967,2024-10-28,1.0,
203967,2024-10-29,1.0,
203967,2024-11-01,2.0,
203991,2024-10-23,1.0,
203991,2024-10-25,1.0,
203991,2024-10-27,1.0,
203991,2024-10-28,3.0,
